sample_id,FAR,SD,AF,AR_ew,AR_ns,SVF,BD,OSR,SC,PAR,theta,OSLI,EUIt,EG,H,weather_station,simulation_mode
0,2.1354166666666665,34.125,10.695652173913043,1.2611721798146776,2.571551205654194,0.6279063423590228,0.1996527777777778,0.3747967479674797,0.6011723035649021,0.13422253146067206,-28.70342116673138,5.0,70.46035147806076,2.356963401453612,6.790917166284314,"Dongtai, Jiangsu",fallback_analytic
1,1.4149305555555556,26.25,6.52,0.6421900090191037,1.8545000013359587,0.6705837884746864,0.2170138888888889,0.5533742331288344,0.7019546749793157,0.12175354670786373,-17.356097912998074,7.0,69.06871163540659,2.7067142634728056,7.452923754312093,"Dongtai, Jiangsu",fallback_analytic
2,2.1354166666666665,44.25,10.695652173913043,1.7091389257023513,2.388889270265945,0.6172941499390459,0.1996527777777778,0.3747967479674797,0.6062357723577235,0.12295652173913044,40.483838798106206,7.0,71.80193074601375,2.3362206349930905,6.710602219085262,"Dongtai, Jiangsu",fallback_analytic
3,2.1527777777777777,36.375,11.272727272727273,0.7135013699192916,2.2187161566588363,0.6343085211590971,0.1909722222222222,0.3758064516129032,0.6119315806700789,0.13011632326353312,0.7783379514821007,6.0,67.46992612123992,2.518704435486773,7.384269998689267,"Dongtai, Jiangsu",fallback_analytic
4,1.4409722222222223,32.625,6.64,0.6661305628163314,5.376460601962436,0.4937477422977382,0.2170138888888889,0.5433734939759036,0.6958674698795181,0.11736,-21.917375355282545,4.0,76.23579663266031,2.141376314762365,6.574870988035029,"Dongtai, Jiangsu",fallback_analytic
5,1.6927083333333333,52.5,8.478260869565217,1.1631927092783596,1.558510486839313,0.6723471499330708,0.1996527777777778,0.4728205128205128,0.6450074394324362,0.13810425128236184,38.517119515422706,5.0,69.40397268785048,2.5527065468534897,6.944485082291167,"Dongtai, Jiangsu",fallback_analytic
6,1.8923611111111112,39.0,9.478260869565217,0.75667757002605,1.4736184189933126,0.6920034382170032,0.1996527777777778,0.42293577981651376,0.6098946422301815,0.1208938744259882,8.996703897916667,7.0,66.4831984979465,2.7473766974527734,7.570828673702016,"Dongtai, Jiangsu",fallback_analytic
7,1.7361111111111112,41.625,8.333333333333334,1.111774435994085,2.034929254636567,0.6149651857081071,0.20833333333333334,0.456,0.6423616900849689,0.12839493523525106,33.265934505280384,6.0,70.43783101988224,2.5195454895230305,6.975590638804856,"Dongtai, Jiangsu",fallback_analytic
8,1.9704861111111112,44.625,9.08,1.6467060793661021,1.7465131679060244,0.5647226189980039,0.2170138888888889,0.3973568281938326,0.6410809252122174,0.12621913782584102,44.06164045620869,1.0,72.38890009083184,2.1972904278321237,6.356394235047727,"Dongtai, Jiangsu",fallback_analytic
9,1.6145833333333333,55.125,7.153846153846154,1.0856277254884434,2.1085656065442198,0.6723017111631379,0.22569444444444445,0.47956989247311826,0.6824470969403107,0.11960917952679205,37.67352794791299,8.0,71.08728557694256,2.596154640401164,7.13713429067832,"Dongtai, Jiangsu",fallback_analytic
10,1.7100694444444444,25.875,8.208333333333334,1.127161713572718,1.339401741855677,0.6071707951161975,0.20833333333333334,0.46294416243654823,0.7161248429768035,0.15778314829119353,27.824491302999405,3.0,69.04982148645375,2.507311396671616,6.963066708776807,"Dongtai, Jiangsu",fallback_analytic
11,1.7795138888888888,27.375,9.318181818181818,0.6743769482960261,2.6559792285342376,0.5833829751490116,0.1909722222222222,0.45463414634146343,0.6106130601726496,0.1282072323544422,-9.822205247690604,1.0,68.67872566105717,2.410108533599137,6.983184994187561,"Dongtai, Jiangsu",fallback_analytic
12,2.3958333333333335,42.375,13.8,1.3220626149366128,2.0498460741164615,0.6274847635489881,0.1736111111111111,0.34492753623188405,0.5855760822412841,0.1512198889747161,-23.280654321608598,6.0,67.87864072142875,2.2992486289863017,6.936041219349563,"Dongtai, Jiangsu",fallback_analytic
13,2.03125,53.625,10.173913043478262,1.3161445436863533,1.764908620664785,0.5879731512037322,0.1996527777777778,0.394017094017094,0.6044724273900399,0.12012692755862159,-36.246691919466606,1.0,70.46520196501706,2.2559972987430084,6.521454999336019,"Dongtai, Jiangsu",fallback_analytic
14,1.5625,55.875,6.923076923076923,0.7425847940465533,2.947644176002206,0.5824602856424941,0.22569444444444445,0.4955555555555556,0.7191620001716544,0.1470583078111454,17.03473706325834,6.0,72.02692501818143,2.519361567162615,7.184687769213132,"Dongtai, Jiangsu",fallback_analytic
15,1.9357638888888888,46.125,11.15,0.8938907972986088,2.472067377033495,0.5927227841378269,0.1736111111111111,0.42690582959641254,0.5843587443946189,0.1237,18.930082727019887,3.0,67.95442304695747,2.4057074552325237,6.94425959510861,"Dongtai, Jiangsu",fallback_analytic
16,2.6996527777777777,36.75,16.36842105263158,1.5932112441922066,1.886632420580058,0.6635493089646649,0.16493055555555555,0.3093247588424437,0.531514102978338,0.1394651930366628,31.494508553749853,7.0,66.74323919733051,2.2567770272147496,6.807741983936375,"Dongtai, Jiangsu",fallback_analytic
17,1.953125,42.0,9.375,1.7568616700842348,1.7676421042629638,0.5648531823594454,0.20833333333333334,0.4053333333333333,0.6041333333333333,0.11558333333333333,-44.91307154694701,3.0,71.96104711605486,2.265747947738773,6.432168373788056,"Dongtai, Jiangsu",fallback_analytic
